Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
3021924;26;18;640;88
3027440;26;18;640;88
3032955;26;18;640;88
3038471;26;18;640;88
3043986;26;18;640;88
3049502;26;18;640;88
3055017;26;18;640;88
3060533;26;18;640;88
3066049;26;18;640;88
3071565;26;18;640;88
3077084;26;18;640;88
3082599;26;18;640;88
3088115;26;18;640;88
3093630;26;18;640;88
3099146;26;18;640;88
3104661;26;18;640;88
3110177;26;18;640;88
3115692;26;18;640;88
3121208;26;18;640;88
3126723;26;18;640;88
3132239;26;18;640;88
3137755;26;18;640;88
3143271;26;18;640;88
3148787;26;18;640;88
3154303;26;18;640;88
3159818;26;18;640;88
3165334;26;18;640;88
3170849;26;18;640;88
3176365;26;18;640;88
3181881;26;18;640;88
3187402;26;18;640;88
3192917;26;18;640;88
3198432;26;18;640;88
3203947;26;18;640;88
3209463;26;18;640;88
3214981;26;18;640;88
3220497;26;18;640;88
3226012;26;18;640;88
3231528;26;18;640;88
3237043;26;18;640;88
3242559;26;18;640;88
3248074;26;18;640;88
3253590;26;18;640;88
3259106;26;18;640;88
3264622;26;18;640;88
3270137;26;18;640;88
3275653;26;18;640;88
3281168;26;18;640;88
3286684;26;18;640;88
3292199;26;18;640;88
3297715;26;18;640;88
3303230;26;18;640;88
3308746;26;18;640;88
3314261;26;18;640;88
3319777;26;18;640;88
3325292;26;18;640;88
3330808;26;18;640;88
3336323;26;18;640;88
3341839;26;18;640;88
3347357;26;18;640;88
3352872;26;18;640;88
3358388;26;18;640;88
3363903;26;18;640;88
3369419;26;18;640;88
3374934;26;18;640;88
3380450;26;18;640;88
3385965;26;18;640;88
3391481;26;18;640;88
3396996;26;18;640;88
3402512;26;18;640;88
3408027;26;18;640;88
3413543;26;18;640;88
3419058;26;18;640;88
3424574;26;18;640;88
3430089;26;18;640;88
3435605;26;18;640;88
3441120;26;18;640;88
3446636;26;18;640;88
3452151;26;18;640;88
3457667;26;18;640;88
3463182;26;18;640;88
3468698;26;18;640;88
3474213;26;18;640;88
3479731;26;18;640;88
3485246;26;18;640;88
3490761;26;18;640;88
3496276;26;18;640;88
3501791;26;18;640;88
3507306;26;18;640;88
3512821;26;18;640;88
3518336;26;18;640;88
3523851;26;18;640;88
3529366;26;18;640;88
3534881;26;18;640;88
3540396;26;18;640;88
3545911;26;18;640;88
3551426;26;18;640;88
3556941;26;18;640;88
3562456;26;18;640;88
3567971;26;18;640;88
3573486;26;18;640;88
3579001;26;18;640;88
3584516;26;18;640;88
3590031;26;18;640;88
3595546;26;18;640;88
3601061;26;18;640;88
3606576;26;18;640;88
3612091;26;18;640;88
3617609;26;18;640;88
3623124;26;18;640;88
3628639;26;18;640;88
3634154;26;18;640;88
3639669;26;18;640;88
3645184;26;18;640;88
3650699;26;18;640;88
3656214;26;18;640;88
3661729;26;18;640;88
3667244;26;18;640;88
3672759;26;18;640;88
3678274;26;18;640;88
3683789;26;18;640;88
3689304;26;18;640;88
3694819;26;18;640;88
3700334;26;18;645;88
3705849;26;18;660;88
3711364;26;18;671;88
3716879;26;18;681;88
3722394;26;18;695;88
3727909;26;18;701;88
3733424;26;18;721;88
3738939;26;18;733;88
3744454;26;18;733;88
3749972;26;18;733;88
3755487;26;18;733;88
3761002;26;18;733;88
3766517;26;18;733;88
3772032;26;18;733;88
3777547;26;18;733;88
3783062;26;18;733;88
3788577;26;18;733;88
3794092;26;18;733;88
3799607;26;18;733;88
3805122;26;18;733;88
3810637;26;18;751;88
3816152;26;18;760;88
3821667;26;18;760;88
3827182;26;18;760;88
3832697;26;18;773;88
3838212;26;18;795;88
3843727;26;18;796;88
3849242;26;18;796;88
3854757;26;18;813;88
3860272;26;18;831;88
3865787;26;18;845;88
3871302;26;18;862;88
3876817;26;18;862;90
3882332;26;18;862;90
3887850;26;18;862;90
3893365;26;18;862;90
3898880;26;18;862;90
3904395;26;18;862;90
3909910;26;18;862;90
3915425;26;18;862;90
3920940;26;18;862;90
3926455;26;18;862;90
3931970;26;18;862;90
3937485;26;18;862;90
3943000;26;18;862;90
3948515;26;18;862;90
3954030;26;18;862;90
3959545;26;18;862;90
3965060;26;18;862;94
3970575;26;18;862;94
3976090;26;18;862;94
3981605;26;18;862;94
3987120;26;18;862;94
3992635;26;18;862;94
3998150;26;18;862;94
4003665;26;18;862;94
4009180;26;18;862;94
4014695;26;18;862;94
4020213;26;18;862;94
4025728;26;18;862;94
4031243;26;18;862;94
4036758;26;18;862;94
4042273;26;18;862;94
4047788;26;18;862;94
4053303;26;18;862;94
4058818;26;18;862;94
4064333;26;18;862;94
4069848;26;18;862;94
4075363;26;18;862;94
4080878;26;18;862;94
4086393;26;18;862;94
4091908;26;18;862;94
4097423;26;18;862;94
4102938;26;18;862;94
4108453;26;18;862;94
4113968;26;18;862;94
4119483;26;18;862;94
4124998;26;18;862;94
4130513;26;18;862;94
4136028;26;18;862;94
4141543;26;18;862;94
4147058;26;18;862;94
4152576;26;18;862;94
4158091;26;18;862;94
4163606;26;18;862;94
4169121;26;18;862;94
4174636;26;18;862;94
4180151;26;18;862;94
4185666;26;18;862;94
4191181;26;18;862;94
4196696;26;18;862;94
4202211;26;18;862;94
4207726;26;18;862;94
4213241;26;18;862;94
4218756;26;18;862;94
4224271;26;18;862;94
4229786;26;18;862;94
4235301;26;18;862;94
4240816;26;18;862;94
4246331;26;18;862;94
4251846;26;18;862;94
4257361;26;18;862;94
4262876;26;18;862;94
4268391;26;18;862;94
4273906;26;18;862;94
4279421;26;18;862;94
4284936;26;18;862;94
4290454;26;18;862;94
4295969;26;18;862;94
4301484;26;18;862;94
4306999;26;18;862;94
4312514;26;18;862;94
4318029;26;18;862;94
4323544;26;18;862;94
4329059;26;18;862;94
4334574;26;18;862;94
4340089;26;18;862;94
4345604;26;18;862;94
4351119;26;18;862;94
4356634;26;18;862;94
4362149;26;18;862;94
4367664;26;18;862;94
4373179;26;18;862;94
4378694;26;18;862;94
4384209;26;18;862;94
4389724;26;18;862;94
4395239;26;18;862;94
4400754;26;18;862;94
4406269;26;18;862;94
4411784;26;18;862;94
4417299;26;18;862;94
4422817;26;18;862;94
4428332;26;18;862;94
4433847;26;18;862;94
4439362;26;18;862;94
4444877;26;18;862;94
4450392;26;18;862;94
4455907;26;18;862;94
4461422;26;18;862;94
4466937;26;18;862;94
4472452;26;18;862;94
4477967;26;18;862;94
4483482;26;18;862;94
4488997;26;18;862;94
4494512;26;18;862;94
4500027;26;18;862;94
4505542;26;18;862;94
4511057;26;18;862;94
4516572;26;18;862;94
4522087;26;18;862;94
4527602;26;18;862;94
4533117;26;18;862;94
4538632;26;18;862;94
4544147;26;18;862;94
4549662;26;18;862;94
4555177;26;18;862;94
4560691;26;18;862;94
4566206;26;18;862;94
4571721;26;18;862;94
4577242;26;18;862;94
4582757;26;18;862;94
4588272;26;18;862;94
4593787;26;18;862;94
4599302;26;18;862;94
4604817;26;18;862;94
4610332;26;18;862;94
4615847;26;18;862;94
4621362;26;18;862;94
4626877;26;18;862;94
4632392;26;18;862;94
4637907;26;18;862;94
4643422;26;18;862;94
4648937;26;18;862;94
4654452;26;18;862;94
4659967;26;18;862;94
4665482;26;18;862;94
