Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
1643885;15;7;106;261
1648890;15;7;106;261
1653904;15;7;106;261
1658910;15;7;106;261
1663927;15;7;106;261
1668937;15;7;106;261
1673952;15;7;106;261
1678967;15;7;106;261
1683983;15;7;106;261
1688995;15;7;106;261
1694020;15;7;106;261
1699034;15;7;106;261
1704040;15;7;106;261
1709053;15;7;106;261
1714058;15;7;106;261
1719059;15;7;106;261
1724065;15;7;106;261
1729072;15;7;106;261
1734088;15;7;106;261
1739095;15;7;106;261
1744116;15;7;106;261
1749122;15;7;106;262
1754135;15;7;106;270
1759141;15;7;107;270
1764149;15;7;107;270
1769153;15;7;108;271
1774156;15;7;108;272
1779163;15;7;108;276
1784182;15;7;108;276
1789198;15;7;108;276
1794205;15;7;108;276
1799211;15;7;108;276
1804227;15;7;108;276
1809240;15;7;108;276
1814257;15;7;108;276
1819266;15;7;108;276
1824284;15;7;108;276
1829287;15;7;108;276
1834300;15;7;108;276
1839305;15;7;108;276
1844311;15;7;108;276
1849325;15;7;108;276
1854331;15;7;108;276
1859338;15;7;108;276
1864345;15;7;108;276
1869359;15;7;108;278
1874366;15;7;110;279
1879369;15;7;112;282
1884389;15;7;112;284
1889403;15;7;112;285
1894408;15;7;112;288
1899424;15;7;112;288
1904429;15;8;112;291
1909446;16;8;114;291
1914459;16;8;114;291
1919471;16;8;114;291
1924489;16;8;114;292
1929496;16;8;114;293
1934505;16;8;114;293
1939507;16;8;114;293
1944520;16;8;114;293
1949526;16;8;114;293
1954539;16;8;114;293
1959556;16;8;114;293
1964565;17;8;114;293
1969572;17;8;114;293
1974587;17;8;114;293
1979600;17;8;114;293
1984606;17;8;114;293
1989617;17;8;114;293
1994638;17;8;114;293
1999642;17;8;114;293
2004651;17;8;114;293
2009673;17;8;114;293
2014689;17;8;114;293
2019702;17;8;114;293
2024717;17;8;114;293
2029727;17;8;114;293
2034745;17;8;114;293
2039750;17;8;114;293
2044757;17;8;114;293
2049772;17;8;114;293
2054784;17;8;114;293
2059806;17;9;114;293
2064821;17;9;114;293
2069828;17;9;114;293
