Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
2641031;116;32;47;131
2646039;116;32;47;131
2651047;116;32;47;131
2656062;116;32;47;131
2661077;116;32;47;131
2666088;116;32;47;131
2671098;116;32;47;131
2676106;116;32;47;132
2681112;116;32;47;136
2686134;116;32;47;136
2691146;116;32;48;136
2696154;116;32;48;136
2701171;116;32;48;136
2706177;116;32;48;136
2711193;116;32;48;136
2716207;116;32;48;136
2721218;116;32;48;136
2726232;116;32;48;136
2731237;116;32;48;136
2736252;116;32;48;136
2741262;116;32;48;136
2746277;116;32;48;140
2751285;116;32;48;141
2756289;116;32;48;143
2761293;116;32;48;143
2766295;116;32;48;143
2771313;116;32;48;143
2776323;116;32;48;143
2781333;116;32;48;143
2786335;116;32;48;143
2791340;116;32;48;143
2796348;116;32;48;143
2801365;116;32;48;143
2806378;116;32;48;143
2811393;116;32;48;143
2816402;116;32;48;143
2821420;116;32;48;143
2826425;116;32;48;143
2831440;116;32;48;143
2836448;116;32;48;143
2841463;116;32;48;144
2846478;116;32;48;144
2851493;116;32;48;144
2856505;116;32;48;144
2861524;116;32;48;148
2866536;116;32;49;157
2871541;116;32;52;159
2876553;116;32;52;159
2881566;116;32;52;163
2886571;116;32;55;166
2891582;116;32;58;166
2896588;116;32;59;166
2901595;116;32;59;166
2906611;116;32;59;166
2911627;116;32;59;166
2916639;116;32;59;167
2921647;116;32;59;167
2926671;116;32;59;167
2931680;116;32;59;167
2936688;116;32;59;167
2941694;116;32;59;167
2946710;116;32;59;167
2951725;116;32;59;167
2956742;116;32;59;167
2961750;116;32;59;171
2966769;116;32;60;171
2971772;116;32;60;175
2976777;116;32;60;175
2981780;116;32;60;175
2986794;116;32;60;175
2991797;116;32;60;175
2996813;116;32;60;175
3001829;116;32;60;175
3006844;116;32;60;175
3011858;116;32;60;175
3016870;116;32;60;175
3021881;116;32;60;178
3026886;116;32;60;178
3031900;116;32;60;178
3036923;116;32;60;179
3041940;116;32;60;179
3046955;116;32;60;179
3051960;116;32;60;179
3056963;116;32;60;179
3061966;117;33;60;179
3066981;118;34;60;179
3071983;118;34;60;179
3077009;119;34;60;179
3082027;123;34;60;179
3087042;123;34;60;179
3092053;123;34;60;179
3097071;123;34;60;179
3102082;123;34;60;179
3107085;123;34;60;179
3112102;123;34;60;179
3117119;123;34;60;179
3122131;123;34;60;179
3127146;123;34;60;179
3132152;123;34;60;179
3137177;123;34;60;181
3142184;123;34;61;185
3147194;123;34;62;185
3152211;123;34;62;190
3157224;123;34;63;190
3162227;123;34;63;194
3167242;123;34;63;197
3172247;123;34;63;199
3177253;123;34;63;199
3182264;123;34;64;199
3187271;123;34;64;199
3192291;123;34;64;199
3197306;123;34;64;199
3202314;123;34;64;200
3207317;124;36;64;208
3212319;124;42;68;209
3217322;124;46;70;209
3222339;124;46;70;209
3227345;124;46;70;209
3232359;124;46;70;209
3237361;124;46;70;209
3242368;124;46;70;209
3247384;124;46;70;209
3252388;124;46;70;209
3257403;124;46;70;209
3262419;124;46;70;209
3267434;124;46;70;209
3272451;124;46;70;209
3277460;124;46;70;209
3282466;124;46;70;209
3287487;124;46;70;209
3292498;124;46;70;209
3297512;124;46;70;209
3302530;124;46;70;209
3307540;124;46;70;209
3312548;124;46;70;209
3317555;124;46;70;209
3322570;124;46;70;210
3327584;124;46;70;210
3332595;124;46;70;210
3337607;124;46;70;210
3342624;124;46;70;210
3347627;124;46;70;210
3352631;124;46;70;210
3357643;124;46;70;210
3362667;124;46;70;210
3367669;124;46;70;210
3372679;124;46;70;210
3377703;124;46;70;210
3382705;124;46;70;210
3387717;124;46;70;210
3392729;124;46;70;210
3397736;124;46;70;210
3402749;124;46;70;210
3407765;124;46;70;210
3412782;124;46;70;210
3417792;124;46;70;210
3422810;124;46;70;210
3427828;124;46;70;210
3432832;124;46;70;210
3437856;124;46;70;210
3442868;124;46;70;210
3447881;124;46;70;210
3452895;124;46;70;210
3457905;124;46;70;210
3462909;124;46;70;210
3467912;124;46;70;210
3472918;124;46;70;210
3477928;124;46;70;210
3482940;124;46;70;210
3487952;124;46;70;210
3492963;124;46;70;213
3497966;124;46;74;213
3502987;124;46;74;213
3507991;124;46;74;213
3513001;124;46;74;213
3518004;124;46;74;213
3523012;124;46;74;213
3528019;124;46;74;213
3533034;124;46;74;213
3538045;124;46;74;213
3543056;124;46;74;213
3548071;124;46;74;213
3553086;124;46;74;216
3558089;124;46;74;216
3563093;124;46;74;217
3568108;124;46;74;217
3573113;124;46;74;217
3578127;124;46;74;217
3583142;124;46;74;217
3588153;124;46;74;222
3593170;124;46;74;229
3598174;124;46;74;236
3603182;124;46;75;236
3608198;124;46;77;236
3613207;124;46;77;236
3618212;124;46;77;240
3623220;124;46;77;241
3628233;124;46;77;252
3633244;124;46;77;257
3638249;124;46;77;257
3643260;124;46;77;257
3648278;124;46;77;257
3653285;124;46;77;257
3658300;124;46;77;265
3663305;124;46;77;274
3668315;124;46;77;280
3673331;124;46;77;284
3678336;124;46;77;290
3683338;124;46;77;291
3688344;124;46;77;292
3693363;124;46;77;292
3698370;124;46;77;292
3703381;124;46;77;292
3708389;124;46;77;292
3713402;124;46;77;292
3718415;124;46;77;292
3723423;124;46;77;292
3728432;124;46;77;292
3733442;124;46;77;292
3738453;124;46;77;292
3743467;124;46;77;292
3748480;124;46;77;292
3753492;124;46;77;292
3758505;124;46;77;292
3763529;124;46;77;292
3768535;124;46;77;292
3773551;124;46;77;292
3778564;124;46;77;292
3783570;124;46;77;292
3788585;124;46;77;292
3793600;124;46;77;292
3798604;124;46;77;292
3803614;124;46;77;292
3808629;124;46;77;292
3813642;124;46;77;292
3818654;124;46;77;292
3823662;124;46;77;292
3828670;124;46;77;292
3833682;124;46;77;292
3838693;124;46;77;292
3843698;124;46;77;296
3848710;124;46;77;296
3853721;124;46;77;296
3858736;124;46;77;296
3863753;124;46;77;296
3868764;124;46;77;296
3873770;124;46;77;296
3878786;124;46;77;296
3883798;124;46;77;296
3888806;124;46;77;296
3893818;124;46;77;296
3898830;124;46;77;296
3903847;124;46;77;296
3908858;124;46;77;296
3913881;124;46;77;296
3918886;124;46;77;296
3923890;124;46;77;296
3928905;124;46;77;296
3933916;124;46;77;296
3938921;124;46;77;296
3943937;124;46;77;296
3948949;124;46;77;296
3953963;124;46;77;296
3958970;124;46;77;296
3963974;124;46;77;296
3968982;124;46;77;296
3973996;124;46;77;296
3979006;124;46;77;296
3984029;124;46;77;296
3989037;124;46;77;296
3994051;124;46;77;296
3999068;124;46;77;296
4004084;124;46;77;296
4009096;124;46;77;296
4014099;124;46;77;296
4019109;124;46;77;296
4024123;124;46;77;296
4029130;124;46;77;296
4034147;124;46;77;296
4039155;124;46;77;296
4044172;124;46;77;296
4049197;124;46;77;296
4054212;124;46;77;296
4059225;124;46;77;296
4064233;124;46;77;296
4069238;124;46;77;296
4074247;124;46;77;296
4079269;124;46;77;296
4084275;124;46;77;296
4089279;124;46;77;296
4094282;124;46;77;296
4099299;124;46;77;296
4104316;124;46;77;296
4109322;124;46;77;296
4114341;124;46;77;296
4119357;124;46;77;296
4124360;124;46;77;296
4129374;124;46;77;297
4134376;124;46;77;297
4139385;124;46;77;297
4144402;124;46;77;297
4149407;124;46;77;299
4154414;124;46;77;299
4159423;124;46;77;299
4164439;124;46;77;299
4169452;124;46;77;299
4174462;124;46;77;303
4179472;124;46;77;304
4184476;124;46;77;304
4189479;124;46;77;304
4194497;124;46;77;304
4199509;124;46;77;304
4204517;124;46;77;304
4209527;124;46;77;304
4214539;124;46;77;304
4219550;124;46;77;304
4224564;124;46;77;304
4229581;124;46;77;304
4234590;124;46;77;304
4239608;124;46;77;304
4244614;124;46;77;304
4249626;124;46;77;304
4254642;124;46;77;304
4259655;124;46;77;304
4264660;124;46;77;304
4269666;124;46;77;304
4274683;124;46;77;304
4279702;124;46;77;304
4284719;124;46;77;304
4289730;124;46;77;304
4294742;124;46;77;304
4299748;124;46;77;304
4304757;124;46;77;304
4309771;124;46;77;304
4314788;124;46;77;304
4319800;124;46;77;304
4324809;124;46;77;304
4329828;124;46;77;304
4334830;124;46;77;304
4339835;124;46;77;304
4344853;124;46;77;304
4349863;124;46;77;304
4354880;124;46;77;304
4359896;124;46;77;304
4364899;124;46;77;304
4369904;124;46;77;304
4374918;124;46;77;304
4379931;124;46;77;304
4384938;124;46;77;304
4389941;124;46;77;304
4394949;124;46;77;304
4399963;124;46;77;304
4404975;124;46;77;304
4409982;124;46;77;304
4414989;124;46;77;304
4420000;124;46;77;304
4425016;124;46;77;304
4430030;124;46;77;304
4435041;124;46;77;304
4440046;124;46;77;304
4445062;124;46;77;304
4450073;124;46;77;304
4455078;124;46;77;304
4460086;124;46;77;304
4465107;124;46;77;304
4470117;124;46;77;304
4475125;124;46;77;304
4480142;124;46;77;304
4485157;124;46;77;304
4490173;124;46;77;304
4495189;124;46;77;304
4500205;124;46;77;304
4505208;124;46;77;304
4510231;124;46;77;304
4515248;124;46;77;304
4520255;124;46;77;304
4525264;124;46;77;304
4530288;124;46;77;304
4535295;124;46;77;304
4540299;124;46;77;304
4545308;124;46;77;304
4550314;124;46;77;304
4555332;124;46;77;304
4560352;124;46;77;304
4565366;124;46;77;304
4570370;124;46;77;304
4575384;124;46;77;304
4580396;124;46;77;304
4585402;124;46;77;304
4590425;124;46;77;304
4595439;124;46;77;304
4600462;124;46;77;304
4605472;124;46;77;304
4610489;124;46;77;304
4615491;124;46;77;304
4620508;124;46;77;304
4625524;124;46;77;308
4630530;124;46;77;317
4635540;124;46;77;317
4640555;124;46;77;317
4645572;124;46;77;317
4650577;124;46;77;317
4655591;124;46;77;317
4660595;124;46;77;317
4665602;124;46;77;317
4670616;124;46;77;317
4675632;124;46;77;317
4680641;124;46;77;317
4685651;124;46;77;317
